x1_init1,x2_init1,u1,comp_time_1,u_bound_1,k1_1,k2_1
-2.1841159657665975e-12,3.7313374279031305e-11,-3.8321094653430416e-10,0.047389984130859375,15.048813503927324,-94.55965922088916,-15.80506237645488
1.5472214621365329e-12,-2.6427364064346606e-11,2.7138140327149734e-10,0.043462514877319336,15.048813503927324,-94.55965921541066,-15.805062375683598
-1.0955149442981278e-12,1.8714980031032183e-11,-1.9219990693825877e-10,0.04121828079223633,15.048813503927324,-94.55965920655154,-15.805062374435263
7.759830588050907e-13,-1.3254634672937749e-11,1.3611363417692212e-10,0.04399847984313965,15.048813503927324,-94.55965921707454,-15.805062375915586
-5.494804084886842e-13,9.386679542429997e-12,-9.639837550034369e-11,0.03978228569030762,15.048813503927324,-94.55965922049063,-15.80506237639848
3.8918754575431565e-13,-6.647884197634049e-12,6.826878271322769e-11,0.04578733444213867,15.048813503927324,-94.55965921672117,-15.805062375867177
-2.756008740090893e-13,4.707964779767615e-12,-4.8348952282537783e-11,0.03720736503601074,15.048813503927324,-94.55965921942644,-15.805062376249596
1.9519560396767228e-13,-3.334266066658962e-12,3.4240653370151645e-11,0.04159379005432129,15.048813503927324,-94.55965921912536,-15.805062376204248
-1.3823100269822396e-13,2.3613128135650384e-12,-2.4249619797361727e-11,0.07187533378601074,15.048813503927324,-94.55965920829341,-15.805062374679965
9.790027865827989e-14,-1.6723137966958641e-12,1.7173606882286653e-11,0.03994917869567871,15.048813503927324,-94.55965922133905,-15.805062376516778
-6.933110101130653e-14,1.1843314819663733e-12,-1.2162507661451619e-11,0.04053330421447754,15.048813503927324,-94.55965921691667,-15.805062375894744
4.9102047185330795e-14,-8.387562047596051e-13,8.6135212854905e-12,0.040369272232055664,15.048813503927324,-94.55965921394382,-15.805062375475154
-3.477357329062972e-14,5.940085046921418e-13,-6.1001642282089815e-12,0.04360651969909668,15.048813503927324,-94.55965921394382,-15.805062375475154
2.462727717858446e-14,-4.2068207429083274e-13,4.320159487036602e-12,0.043059587478637695,15.048813503927324,-94.55965921394382,-15.805062375475154
-1.7440930250498813e-14,2.979283442006973e-13,-3.0595676426527204e-12,0.04335594177246094,15.048813503927324,-94.55965921394382,-15.805062375475154
1.2351904169570918e-14,-2.1099513905669942e-13,2.1667994847952706e-12,0.046404123306274414,15.048813503927324,-94.55965921394382,-15.805062375475154
-8.747609736099025e-15,1.4942760554771786e-13,-1.534541630717477e-12,0.044816017150878906,15.048813503927324,-94.55965921394382,-15.805062375475154
6.195150818672761e-15,-1.0582566578269366e-13,1.0867698984289788e-12,0.04327583312988281,15.048813503927324,-94.55965921394382,-15.805062375475154
-4.3874157595966055e-15,7.494622442809127e-14,-7.696572128350009e-13,0.0456545352935791,15.048813503927324,-94.55965921394382,-15.805062375475154
3.1072066832125225e-15,-5.3077400207305446e-14,5.450752159326557e-13,0.03371119499206543,15.048813503927324,-94.55965921394382,-15.805062375475154
-2.2005333375180224e-15,3.758967947316946e-14,-3.8602554626293474e-13,0.03425788879394531,15.048813503927324,-94.55965921394382,-15.805062375475154
1.5584346097989236e-15,-2.6621242543576025e-14,2.733853533040702e-13,0.04401254653930664,15.048813503927324,-94.55965921394382,-15.805062375475154
-1.103689644558679e-15,1.8853303050672725e-14,-1.9361311403219098e-13,0.041417598724365234,15.048813503927324,-94.55965921394382,-15.805062375475154
