sample_id,traj_id,k,x1,x2,u_bound,gamma,u,k1,k2,q11,q12,q22,y1,y2,x1_next,x2_next,solve_time
256,5,6,-0.04010525771153982,0.05432823636894286,1.682849946864379,0.1767450356268582,0.5277749185448078,-17.193713684120024,-2.9778879379883416,0.015076274779300031,-0.03184238596058516,0.18446473548530687,-0.16439409490960868,-0.0018264435603609433,-0.034672434074645535,0.04696870972637066,0.07622027397155762
257,5,7,-0.034672434074645535,0.04696870972637066,1.682849946864379,0.17674503562676347,0.4562803532630762,-17.19371379922488,-2.977887954634248,0.015076274596401274,-0.031842385790462155,0.18446473534360527,-0.16439409347681408,-0.0018264454688052892,-0.029975563102008468,0.040606134774441166,0.06324172019958496
258,5,8,-0.029975563102008468,0.040606134774441166,1.682849946864379,0.17674503562677227,0.39447073634500396,-17.193713956078806,-2.9778879958658697,0.015076274398103337,-0.03184238560365138,0.18446473396439017,-0.16439409167549734,-0.0018264471848051628,-0.02591494962456435,0.03510546042779593,0.06034517288208008
259,5,9,-0.02591494962456435,0.03510546042779593,1.682849946864379,0.17674503562675017,0.3410341037668104,-17.193714073505692,-2.9778880274841675,0.015076274250308525,-0.03184238545266625,0.18446473278106884,-0.16439409034753028,-0.0018264483503102542,-0.02240440358178476,0.030349930009227574,0.0639657974243164
260,5,10,-0.02240440358178476,0.030349930009227574,1.682849946864379,0.176745035626747,0.2948362172257861,-17.19371416176646,-2.9778880510366594,0.015076274139309388,-0.03184238534485761,0.18446473195437402,-0.16439408934076097,-0.0018264492763075048,-0.019369410580862,0.02623860329659213,0.058975934982299805
261,5,11,-0.019369410580862,0.02623860329659213,1.682849946864379,0.1767450356267523,0.2548964865807578,-17.19371422716639,-2.977888068660447,0.01507627405744795,-0.03184238526461377,0.18446473132466915,-0.16439408859701976,-0.0018264499492841452,-0.01674555025120279,0.022684213823564853,0.0639643669128418
262,5,12,-0.01674555025120279,0.022684213823564853,1.682849946864379,0.17674503562674246,0.22036715642714944,-17.19371427657905,-2.977888082061473,0.015076273995575892,-0.03184238520182126,0.18446473082460985,-0.16439408803843653,-0.0018264504383998035,-0.014477128868846303,0.01961131659317315,0.13526010513305664
263,5,13,-0.014477128868846303,0.01961131659317315,1.682849946864379,0.1767450356267693,0.19051531170813402,-17.193714313608417,-2.9778880916354122,0.015076273949179713,-0.03184238516523647,0.18446473057195406,-0.16439408760306717,-0.0018264509019980293,-0.012515997209528987,0.016954686690747463,0.10384106636047363
264,5,14,-0.012515997209528987,0.016954686690747463,1.682849946864379,0.1767450356267431,0.16470732098709584,-17.193714340991438,-2.9778880994447716,0.015076273914933276,-0.03184238512204046,0.18446473019633902,-0.16439408730704186,-0.0018264510947688752,-0.01082052854045424,0.014657934830759192,0.06821250915527344
265,5,15,-0.01082052854045424,0.014657934830759192,1.682849946864379,0.17674503562674884,0.14239538719053027,-17.19371436154679,-2.977888104905972,0.01507627388923777,-0.03184238509891874,0.1844647300215659,-0.164394087070095,-0.0018264513247301178,-0.00935473505737832,0.012672310454970652,0.057292938232421875
